Near field
"Phi"[deg]	"MLFMM_Sphere2_Scat_Field [dBV/m]"	"Sphere2_Scat_Field [dBV/m]"	
7.90000000E+01	-2.04300329E+01	-2.29739384E+01	
7.95000000E+01	-2.10158233E+01	-2.48878183E+01	
8.00000000E+01	-2.22560165E+01	-2.69954688E+01	
8.05000000E+01	-2.41078690E+01	-2.84844504E+01	
8.10000000E+01	-2.56313267E+01	-2.80419265E+01	
8.15000000E+01	-2.48415328E+01	-2.61246551E+01	
8.20000000E+01	-2.25455360E+01	-2.41024429E+01	
8.25000000E+01	-2.05819999E+01	-2.25162538E+01	
8.30000000E+01	-1.94198591E+01	-2.14674224E+01	
8.35000000E+01	-1.90752772E+01	-2.09716708E+01	
8.40000000E+01	-1.95203077E+01	-2.10577701E+01	
8.45000000E+01	-2.07222438E+01	-2.18003189E+01	
8.50000000E+01	-2.25119034E+01	-2.33499467E+01	
8.55000000E+01	-2.41753164E+01	-2.59510316E+01	
8.60000000E+01	-2.44040496E+01	-2.94452028E+01	
8.65000000E+01	-2.32461874E+01	-2.97944899E+01	
8.70000000E+01	-2.18548141E+01	-2.59805491E+01	
8.75000000E+01	-2.06725915E+01	-2.27590907E+01	
8.80000000E+01	-1.96762391E+01	-2.06227804E+01	
8.85000000E+01	-1.88330618E+01	-1.93211014E+01	
8.90000000E+01	-1.82291335E+01	-1.86873357E+01	
8.95000000E+01	-1.80167765E+01	-1.86434678E+01	
9.00000000E+01	-1.83395469E+01	-1.91779409E+01	
9.05000000E+01	-1.92871057E+01	-2.03452918E+01	
9.10000000E+01	-2.07950579E+01	-2.22918011E+01	
9.15000000E+01	-2.22932154E+01	-2.52997341E+01	
9.20000000E+01	-2.25098617E+01	-2.94258919E+01	
9.25000000E+01	-2.12619113E+01	-3.03170641E+01	
9.30000000E+01	-1.97504469E+01	-2.61771362E+01	
9.35000000E+01	-1.85826311E+01	-2.27329281E+01	
9.40000000E+01	-1.77868082E+01	-2.03845852E+01	
9.45000000E+01	-1.72473540E+01	-1.87977122E+01	
9.50000000E+01	-1.68763965E+01	-1.77670794E+01	
9.55000000E+01	-1.66554664E+01	-1.71826294E+01	
9.60000000E+01	-1.66106752E+01	-1.69883494E+01	
9.65000000E+01	-1.67722653E+01	-1.71607884E+01	
9.70000000E+01	-1.71521074E+01	-1.76965657E+01	
9.75000000E+01	-1.77307462E+01	-1.85991964E+01	
9.80000000E+01	-1.84222391E+01	-1.98481635E+01	
9.85000000E+01	-1.90120059E+01	-2.13062210E+01	
9.90000000E+01	-1.91827122E+01	-2.25103188E+01	
9.95000000E+01	-1.87869499E+01	-2.26624400E+01	
1.00000000E+02	-1.80343902E+01	-2.15682795E+01	
1.00500000E+02	-1.72196204E+01	-1.99432454E+01	
1.01000000E+02	-1.64540129E+01	-1.83655256E+01	
1.01500000E+02	-1.56770998E+01	-1.70196306E+01	
1.02000000E+02	-1.48023954E+01	-1.59156299E+01	
1.02500000E+02	-1.38464723E+01	-1.50157962E+01	
1.03000000E+02	-1.29263938E+01	-1.42763153E+01	
1.03500000E+02	-1.21636630E+01	-1.36585285E+01	
1.04000000E+02	-1.16161797E+01	-1.31306392E+01	
1.04500000E+02	-1.12669872E+01	-1.26668108E+01	
1.05000000E+02	-1.10426697E+01	-1.22466136E+01	
1.05500000E+02	-1.08498500E+01	-1.18562061E+01	
1.06000000E+02	-1.06235445E+01	-1.14909519E+01	
1.06500000E+02	-1.03604040E+01	-1.11574953E+01	
1.07000000E+02	-1.01038935E+01	-1.08729107E+01	
1.07500000E+02	-9.90853847E+00	-1.06599640E+01	
1.08000000E+02	-9.80587986E+00	-1.05394921E+01	
1.08500000E+02	-9.79000488E+00	-1.05216901E+01	
1.09000000E+02	-9.82147452E+00	-1.05978221E+01	
1.09500000E+02	-9.85169319E+00	-1.07344324E+01	
1.10000000E+02	-9.86184995E+00	-1.08750205E+01	
1.10500000E+02	-9.88436198E+00	-1.09566134E+01	
1.11000000E+02	-9.97633725E+00	-1.09413460E+01	
1.11500000E+02	-1.01619185E+01	-1.08433457E+01	
1.12000000E+02	-1.03927056E+01	-1.07252576E+01	
1.12500000E+02	-1.05716941E+01	-1.06664802E+01	
1.13000000E+02	-1.06474225E+01	-1.07286640E+01	
1.13500000E+02	-1.06851919E+01	-1.09334101E+01	
1.14000000E+02	-1.08133230E+01	-1.12500073E+01	
1.14500000E+02	-1.11044881E+01	-1.15934012E+01	
1.15000000E+02	-1.15014903E+01	-1.18491362E+01	
1.15500000E+02	-1.18322734E+01	-1.19396520E+01	
1.16000000E+02	-1.19425843E+01	-1.18901678E+01	
1.16500000E+02	-1.18520254E+01	-1.18189566E+01	
1.17000000E+02	-1.17238717E+01	-1.18633261E+01	
1.17500000E+02	-1.17051902E+01	-1.21156997E+01	
1.18000000E+02	-1.18437528E+01	-1.25897751E+01	
1.18500000E+02	-1.21008685E+01	-1.31913219E+01	
1.19000000E+02	-1.23976148E+01	-1.37010200E+01	
1.19500000E+02	-1.26591372E+01	-1.38644574E+01	
1.20000000E+02	-1.28364031E+01	-1.36233525E+01	
1.20500000E+02	-1.29050725E+01	-1.31917931E+01	
1.21000000E+02	-1.28673900E+01	-1.28454779E+01	
1.21500000E+02	-1.27639631E+01	-1.27467201E+01	
1.22000000E+02	-1.26623524E+01	-1.29109168E+01	
1.22500000E+02	-1.26102297E+01	-1.32038508E+01	
1.23000000E+02	-1.25957268E+01	-1.33602499E+01	
1.23500000E+02	-1.25653999E+01	-1.31435316E+01	
1.24000000E+02	-1.24964443E+01	-1.25921210E+01	
1.24500000E+02	-1.24402883E+01	-1.19880790E+01	
1.25000000E+02	-1.24655151E+01	-1.16083085E+01	
1.25500000E+02	-1.25657268E+01	-1.16072692E+01	
1.26000000E+02	-1.26425066E+01	-1.20161694E+01	
1.26500000E+02	-1.26012026E+01	-1.27190561E+01	
1.27000000E+02	-1.24563702E+01	-1.33765423E+01	
1.27500000E+02	-1.22909006E+01	-1.35116524E+01	
1.28000000E+02	-1.21343002E+01	-1.30124265E+01	
1.28500000E+02	-1.19407237E+01	-1.23074132E+01	
1.29000000E+02	-1.16811812E+01	-1.18524688E+01	
1.29500000E+02	-1.14026714E+01	-1.18633555E+01	
1.30000000E+02	-1.11640582E+01	-1.23371238E+01	
1.30500000E+02	-1.09498458E+01	-1.30094048E+01	
1.31000000E+02	-1.06924815E+01	-1.32894368E+01	
1.31500000E+02	-1.03729026E+01	-1.27316147E+01	
1.32000000E+02	-1.00623745E+01	-1.16954541E+01	
1.32500000E+02	-9.84889954E+00	-1.08155703E+01	
1.33000000E+02	-9.75282059E+00	-1.04267287E+01	
1.33500000E+02	-9.71403472E+00	-1.05943357E+01	
